K+A, 6 : 25-0,4,0,0,0		K+Q, 6 : 25-5,0,0,2,0	K+J, 6 : 25-0,2,0,0,0	K+10, 6 : 31-0,0,1,0,0	K+9, 6 : 25-3,5,0,0,0	K+8, 6 : 35-0,0,0,0,4	K+7, 6 : 25-0,0,0,3,0	K+6, 6 : 33-0,4,0,6,0	K+5, 6 : 37-0,0,0,6,4	K+4, 6 : 25-4,6,0,0,0	K+3, 6 : 25-6,0,0,6,0	K+2, 6 : 47-0,0,4,0,2
K+A, 7 : 28-0,5,0,4,0		K+Q, 7 : 8-3,0,7,0,0	K+J, 7 : 27-0,0,7,0,7	K+10, 7 : 34-0,3,0,7,0	K+9, 7 : 29-0,0,0,0,6	K+8, 7 : 42-1,0,0,0,0	K+7, 7 : 32-0,0,0,2,0	K+6, 7 : 27-0,7,0,0,7	K+5, 7 : 34-0,2,0,0,7	K+4, 7 : 8-3,5,0,0,0	K+3, 7 : 25-0,0,4,0,0	K+2, 7 : 38-5,0,0,4,0
K+A, 8 : 23-0,8,0,0,0		K+Q, 8 : 14-0,0,0,5,8	K+J, 8 : 3-0,0,5,6,0	K+10, 8 : 29-0,6,0,0,0	K+9, 8 : 3-0,0,8,8,0	K+8, 8 : 39-0,0,0,0,6	K+7, 8 : 35-0,0,2,0,0	K+6, 8 : 23-0,0,3,0,0	K+5, 8 : 3-0,2,0,0,0	K+4, 8 : 31-7,0,0,0,8	K+3, 8 : 23-8,0,8,0,0	K+2, 8 : 3-0,0,2,0,0
K+A, 9 : 17-0,0,5,0,9		K+Q, 9 : 37-6,0,0,0,0	K+J, 9 : 6-5,0,0,9,0	K+10, 9 : 17-0,0,0,0,9	K+9, 9 : 18-9,0,0,9,0	K+8, 9 : 50-0,4,0,0,0	K+7, 9 : 19-0,0,0,0,8	K+6, 9 : 16-0,0,0,9,6	K+5, 9 : 34-0,9,0,0,0	K+4, 9 : 36-0,9,0,0,0	K+3, 9 : 39-0,5,6,0,0	K+2, 9 : 7-0,3,0,0,9
K+A, 10 : 33-0,8,0,0,0		K+Q, 10 : 2-0,0,0,10,10	K+J, 10 : 3-0,10,0,0,0	K+10, 10 : 23-0,10,0,0,6	K+9, 10 : 3-10,0,5,0,0	K+8, 10 : 27-0,0,6,6,0	K+7, 10 : 13-0,0,4,0,0	K+6, 10 : 13-0,10,6,0,0	K+5, 10 : 3-0,5,0,0,0	K+4, 10 : 23-0,0,10,0,9	K+3, 10 : 33-0,0,7,0,10	K+2, 10 : 23-0,0,9,0,0

Q+A, 3 : 20-2,0,3,2,0			Q+J, 3 : 18-3,0,0,0,0	Q+10, 3 : 6-0,0,0,2,3	Q+9, 3 : 21-1,3,0,0,0		Q+7, 3 : 9-0,0,0,3,2	Q+6, 3 : 29-1,0,3,3,3	Q+5, 3 : 15-0,3,0,0,0	Q+4, 3 : 17-0,2,0,0,1		Q+2, 3 : 7-0,2,0,0,0
Q+A, 4 : 18-0,0,0,1,1	Q+K, 4 : 44-1,4,3,0,0		Q+J, 4 : 25-4,0,0,0,0	Q+10, 4 : 10-0,3,0,0,0	Q+9, 4 : 24-0,2,0,0,4	Q+8, 4 : 44-1,0,0,3,0	Q+7, 4 : 10-4,0,0,1,0	Q+6, 4 : 18-0,0,0,0,4	Q+5, 4 : 10-0,0,0,4,0	Q+4, 4 : 8-0,0,0,2,4	Q+3, 4 : 44-1,2,0,0,0	Q+2, 4 : 4-0,0,0,4,2
Q+A, 5 : 20-0,0,0,0,0	Q+K, 5 : 38-0,2,0,0,5		Q+J, 5 : 20-4,0,0,5,0	Q+10, 5 : 2-0,0,0,0,4	Q+9, 5 : 2-3,0,0,0,5	Q+8, 5 : 2-0,0,0,0,3	Q+7, 5 : 12-3,0,0,3,0	Q+6, 5 : 19-0,5,0,0,5	Q+5, 5 : 2-0,0,5,0,0	Q+4, 5 : 15-0,2,0,0,3	Q+3, 5 : 40-0,0,0,0,4	Q+2, 5 : 6-5,0,0,0,4
Q+A, 6 : 33-6,0,0,0,6	Q+K, 6 : 25-5,0,0,2,0		Q+J, 6 : 6-0,0,0,0,3	Q+10, 6 : 20-0,4,0,0,1	Q+9, 6 : 6-0,2,0,0,0	Q+8, 6 : 0-6,0,0,6,0	Q+7, 6 : 6-0,0,5,0,6	Q+6, 6 : 15-6,0,6,0,0	Q+5, 6 : 0-0,6,0,4,0	Q+4, 6 : 14-0,0,4,0,6	Q+3, 6 : 20-2,0,0,6,0	Q+2, 6 : 40-5,0,0,0,6
Q+A, 7 : 17-5,0,0,0,6	Q+K, 7 : 8-3,0,7,0,0		Q+J, 7 : 5-0,0,3,0,7	Q+10, 7 : 2-0,7,6,0,0	Q+9, 7 : 29-0,0,2,0,0	Q+8, 7 : 49-0,7,0,0,5	Q+7, 7 : 9-0,0,0,0,7	Q+6, 7 : 23-0,4,7,0,0	Q+5, 7 : 3-0,7,5,6,0	Q+4, 7 : 46-7,0,4,0,0	Q+3, 7 : 1-0,0,0,7,3	Q+2, 7 : 38-0,0,0,5,0
Q+A, 8 : 24-7,0,5,0,0	Q+K, 8 : 14-0,0,0,5,8		Q+J, 8 : 33-0,0,0,7,8	Q+10, 8 : 37-0,0,0,0,5	Q+9, 8 : 4-0,0,0,0,8	Q+8, 8 : 24-6,0,7,0,0	Q+7, 8 : 6-8,0,0,0,0	Q+6, 8 : 50-0,0,0,0,8	Q+5, 8 : 5-0,8,6,0,0	Q+4, 8 : 14-0,0,0,0,0	Q+3, 8 : 42-0,0,2,0,0	Q+2, 8 : 13-0,8,0,0,7
Q+A, 9 : 4-8,0,0,0,0	Q+K, 9 : 37-6,0,0,0,0		Q+J, 9 : 4-8,0,0,9,0	Q+10, 9 : 8-0,0,4,9,0	Q+9, 9 : 21-0,0,6,0,0	Q+8, 9 : 29-0,0,0,8,0	Q+7, 9 : 28-0,0,0,0,9	Q+6, 9 : 3-0,0,0,0,3	Q+5, 9 : 0-0,0,0,3,0	Q+4, 9 : 27-0,0,0,9,0	Q+3, 9 : 3-0,0,0,2,0	Q+2, 9 : 37-0,6,0,0,0
