Q/A, 6 : 21-1,3,6,0,0	Q/K, 6 : 51-2,0,1,5,6	Q/J, 6 : 17-5,6,4,0,4	Q/10, 6 : 3-0,3,6,5,3	Q/9, 6 : 6-0,2,4,0,0	Q/8, 6 : 44-1,0,3,2,0	Q/7, 6 : 6-0,3,4,0,6	Q/6, 6 : 18-4,0,4,0,3	Q/5, 6 : 4-0,2,0,5,2	Q/4, 6 : 14-0,2,4,0,6	Q/3, 6 : 5-3,1,5,6,3	Q/2, 6 : 51-1,6,5,5,6
Q/A, 7 : 16-6,0,1,7,0	Q/K, 7 : 46-0,2,4,0,7	Q/J, 7 : 10-2,0,6,2,0	Q/10, 7 : 1-7,4,0,4,1	Q/9, 7 : 1-4,4,0,7,0	Q/8, 7 : 38-0,2,0,5,7	Q/7, 7 : 9-3,0,0,0,7	Q/6, 7 : 1-5,4,0,7,5		Q/4, 7 : 10-2,5,5,0,0	Q/3, 7 : 1-0,4,0,7,3	Q/2, 7 : 50-2,0,0,3,4
Q/A, 8 : 24-6,0,5,3,0	Q/K, 8 : 42-3,3,5,0,0	Q/J, 8 : 9-3,5,5,0,0	Q/10, 8 : 4-0,5,2,2,0	Q/9, 8 : 6-0,0,0,6,7	Q/8, 8 : 42-5,8,6,0,0	Q/7, 8 : 6-6,0,0,7,0	Q/6, 8 : 50-0,6,0,0,8	Q/5, 8 : 5-0,8,6,1,0	Q/4, 8 : 14-0,0,0,7,0	Q/3, 8 : 6-2,0,0,2,7	Q/2, 8 : 13-0,1,1,0,7
											
											

											
J/A, 4 : 28-4,3,0,1,4	J/K, 4 : 32-1,4,3,4,4	J/Q, 4 : 28-2,1,4,4,4		J/9, 4 : 20-0,0,4,0,4		J/7, 4 : 29-0,0,0,4,0	J/6, 4 : 29-0,1,0,1,0		J/4, 4 : 21-3,0,0,4,0		
J/A, 5 : 20-4,5,3,0,1	J/K, 5 : 30-3,5,3,4,0	J/Q, 5 : 20-4,0,3,5,0	J/10, 5 : 20-4,1,3,5,4	J/9, 5 : 18-5,0,0,3,3	J/8, 5 : 31-2,0,5,3,0	J/7, 5 : 18-0,1,0,4,3	J/6, 5 : 23-1,0,5,4,5	J/5, 5 : 16-2,3,1,2,0	J/4, 5 : 18-5,5,0,0,3	J/3, 5 : 22-2,0,1,4,5	
J/A, 6 : 19-5,0,4,4,0	J/K, 6 : 23-1,4,0,2,0	J/Q, 6 : 18-0,0,3,5,3	J/10, 6 : 11-0,6,3,4,0	J/9, 6 : 18-0,4,0,5,6	J/8, 6 : 29-4,0,0,2,0	J/7, 6 : 17-0,1,4,0,5	J/6, 6 : 27-0,0,2,4,6	J/5, 6 : 12-0,0,3,3,5	J/4, 6 : 14-0,4,6,0,3	J/3, 6 : 30-3,5,0,1,0	J/2, 6 : 10-0,3,2,5,6
J/A, 7 : 17-0,0,2,3,6	J/K, 7 : 27-6,0,7,0,7	J/Q, 7 : 17-0,6,2,0,4	J/10, 7 : 19-0,0,7,4,2	J/9, 7 : 21-0,5,6,0,7	J/8, 7 : 19-6,0,7,0,2	J/7, 7 : 16-0,1,0,4,5	J/6, 7 : 20-4,0,0,1,1	J/5, 7 : 13-5,0,6,0,7	J/4, 7 : 13-0,4,2,0,7	J/3, 7 : 20-4,6,0,0,2	J/2, 7 : 20-1,6,0,7,4
J/A, 8 : 16-0,8,0,8,3	J/K, 8 : 25-0,0,0,4,6	J/Q, 8 : 9-3,5,0,0,0	J/10, 8 : 9-0,8,0,0,0	J/9, 8 : 25-0,0,0,0,8	J/8, 8 : 17-0,0,0,0,7	J/7, 8 : 9-6,6,0,0,0	J/6, 8 : 17-7,8,0,0,8	J/5, 8 : 9-1,1,0,0,0	J/4, 8 : 17-3,0,0,0,5	J/3, 8 : 16-0,0,8,0,1	J/2, 8 : 9-7,2,0,0,0
											
											

											
		10/Q, 4 : 5-0,3,0,4,4				10/7, 4 : 7-2,0,2,0,3		10/5, 4 : 5-0,0,0,1,4			10/2, 4 : 8-1,0,1,1,2
	10/K, 5 : 43-1,0,2,3,5	10/Q, 5 : 7-2,0,0,4,3	10/J, 5 : 8-1,4,5,3,0	10/9, 5 : 0-0,4,4,2,5		10/7, 5 : 4-0,5,3,4,2		10/5, 5 : 6-3,5,2,0,1	10/4, 5 : 6-3,5,4,0,3		10/2, 5 : 5-4,5,2,1,1
10/A, 6 : 14-3,0,5,3,0	10/K, 6 : 49-0,0,2,2,5	10/Q, 6 : 2-6,4,3,0,4	10/J, 6 : 5-4,0,6,3,4	10/9, 6 : 2-6,0,3,0,2	10/8, 6 : 38-0,3,0,5,6	10/7, 6 : 13-4,4,1,0,6	10/6, 6 : 15-2,5,6,0,5	10/5, 6 : 2-6,2,3,0,1	10/4, 6 : 14-3,0,3,0,0	10/3, 6 : 2-0,1,3,0,0	10/2, 6 : 49-3,0,6,2,5
10/A, 7 : 33-0,4,4,0,7	10/K, 7 : 42-2,4,0,6,7	10/Q, 7 : 8-1,0,4,1,7	10/J, 7 : 5-4,5,0,0,7	10/9, 7 : 50-0,4,5,0,2	10/8, 7 : 42-2,0,5,6,0	10/7, 7 : 2-0,7,0,3,0	10/6, 7 : 51-0,3,4,6,0		10/4, 7 : 33-5,4,0,0,7	10/3, 7 : 49-1,5,6,7,0	10/2, 7 : 40-4,5,0,0,1
10/A, 8 : 11-6,7,0,8,0	10/K, 8 : 37-6,0,0,0,8	10/Q, 8 : 4-0,5,6,2,0	10/J, 8 : 1-0,0,8,0,0	10/9, 8 : 4-5,5,0,0,0	10/8, 8 : 37-7,2,0,0,0	10/7, 8 : 29-0,7,1,0,0	10/6, 8 : 2-7,7,0,0,0		10/4, 8 : 29-8,7,8,0,0	10/3, 8 : 45-3,0,0,8,7	10/2, 8 : 36-0,0,8,0,1
											
											

											
											
		9/Q, 5 : 2-3,0,2,0,5	9/J, 5 : 13-1,5,0,0,3	9/10, 5 : 11-3,1,0,2,0		9/7, 5 : 3-2,5,2,0,0		9/5, 5 : 11-3,2,5,2,0	9/4, 5 : 13-1,2,0,1,3		9/2, 5 : 4-1,0,0,2,4
9/A, 6 : 27-1,3,1,0,0	9/K, 6 : 35-1,2,0,4,6	9/Q, 6 : 6-0,2,4,4,0	9/J, 6 : 12-2,0,4,0,5	9/10, 6 : 8-0,3,0,2,4	9/8, 6 : 6-1,2,6,4,0	9/7, 6 : 11-3,0,5,6,2		9/5, 6 : 50-6,0,4,2,0	9/4, 6 : 50-4,1,4,4,0	9/3, 6 : 35-1,6,3,4,6	9/2, 6 : 7-6,0,2,3,5
9/A, 7 : 22-6,0,4,7,0	9/K, 7 : 31-5,5,7,5,0	9/Q, 7 : 1-4,6,0,7,0	9/J, 7 : 21-0,7,6,0,7	9/10, 7 : 50-0,4,2,0,2	9/8, 7 : 49-0,1,3,0,3	9/7, 7 : 1-4,0,7,6,0	9/6, 7 : 13-1,7,0,2,1	9/5, 7 : 51-6,0,1,0,1	9/4, 7 : 7-0,6,0,7,3	9/3, 7 : 21-0,4,1,7,7	9/2, 7 : 45-0,5,0,0,0
9/A, 8 : 20-0,0,4,7,5	9/K, 8 : 20-0,0,7,8,5	9/Q, 8 : 50-7,0,0,0,6	9/J, 8 : 25-0,3,0,0,8	9/10, 8 : 4-5,2,0,0,0	9/8, 8 : 48-0,3,2,0,0	9/7, 8 : 6-0,8,6,6,0	9/6, 8 : 4-2,2,0,0,3	9/5, 8 : 48-8,8,6,0,0	9/4, 8 : 48-6,1,0,0,0	9/3, 8 : 26-6,2,0,7,0	9/2, 8 : 48-4,1,8,0,0
											
											

	8/K, 3 : 46-1,3,0,1,1									8/3, 3 : 43-3,2,1,3,3	
8/A, 4 : 39-1,0,0,4,0	8/K, 4 : 40-3,3,4,0,3		8/J, 4 : 39-2,0,2,4,0							8/3, 4 : 43-0,1,4,0,1	
